complex_name,pdb_dir
5y2f,data/rebuild_isolated/rebuild_20251221_163301/processed/5y2f
5ivx,data/rebuild_isolated/rebuild_20251221_163301/processed/5ivx
4k6i,data/rebuild_isolated/rebuild_20251221_163301/processed/4k6i
8rhq,data/rebuild_isolated/rebuild_20251221_163301/processed/8rhq
8g8q,data/rebuild_isolated/rebuild_20251221_163301/processed/8g8q
1sld,data/rebuild_isolated/rebuild_20251221_163301/processed/1sld
7da6,data/rebuild_isolated/rebuild_20251221_163301/processed/7da6
3agz,data/rebuild_isolated/rebuild_20251221_163301/processed/3agz
6j8e,data/rebuild_isolated/rebuild_20251221_163301/processed/6j8e
3gsv,data/rebuild_isolated/rebuild_20251221_163301/processed/3gsv
1lvm,data/rebuild_isolated/rebuild_20251221_163301/processed/1lvm
1ukh,data/rebuild_isolated/rebuild_20251221_163301/processed/1ukh
3qib,data/rebuild_isolated/rebuild_20251221_163301/processed/3qib
7pbe,data/rebuild_isolated/rebuild_20251221_163301/processed/7pbe
1n6d,data/rebuild_isolated/rebuild_20251221_163301/processed/1n6d
6pu1,data/rebuild_isolated/rebuild_20251221_163301/processed/6pu1
1ook,data/rebuild_isolated/rebuild_20251221_163301/processed/1ook
4zeq,data/rebuild_isolated/rebuild_20251221_163301/processed/4zeq
5g44,data/rebuild_isolated/rebuild_20251221_163301/processed/5g44
2fge,data/rebuild_isolated/rebuild_20251221_163301/processed/2fge
2w0p,data/rebuild_isolated/rebuild_20251221_163301/processed/2w0p
5vwi,data/rebuild_isolated/rebuild_20251221_163301/processed/5vwi
2czy,data/rebuild_isolated/rebuild_20251221_163301/processed/2czy
5avi,data/rebuild_isolated/rebuild_20251221_163301/processed/5avi
1hoc,data/rebuild_isolated/rebuild_20251221_163301/processed/1hoc
5awk,data/rebuild_isolated/rebuild_20251221_163301/processed/5awk
1vwg,data/rebuild_isolated/rebuild_20251221_163301/processed/1vwg
4mg6,data/rebuild_isolated/rebuild_20251221_163301/processed/4mg6
6b5p,data/rebuild_isolated/rebuild_20251221_163301/processed/6b5p
7q8k,data/rebuild_isolated/rebuild_20251221_163301/processed/7q8k
4x1s,data/rebuild_isolated/rebuild_20251221_163301/processed/4x1s
1cdk,data/rebuild_isolated/rebuild_20251221_163301/processed/1cdk
3avf,data/rebuild_isolated/rebuild_20251221_163301/processed/3avf
3ewt,data/rebuild_isolated/rebuild_20251221_163301/processed/3ewt
4n78,data/rebuild_isolated/rebuild_20251221_163301/processed/4n78
8t70,data/rebuild_isolated/rebuild_20251221_163301/processed/8t70
6gd5,data/rebuild_isolated/rebuild_20251221_163301/processed/6gd5
4aza,data/rebuild_isolated/rebuild_20251221_163301/processed/4aza
1rbg,data/rebuild_isolated/rebuild_20251221_163301/processed/1rbg
7z8y,data/rebuild_isolated/rebuild_20251221_163301/processed/7z8y
4obh,data/rebuild_isolated/rebuild_20251221_163301/processed/4obh
3avn,data/rebuild_isolated/rebuild_20251221_163301/processed/3avn
1psb,data/rebuild_isolated/rebuild_20251221_163301/processed/1psb
7jyx,data/rebuild_isolated/rebuild_20251221_163301/processed/7jyx
1u8j,data/rebuild_isolated/rebuild_20251221_163301/processed/1u8j
7wzz,data/rebuild_isolated/rebuild_20251221_163301/processed/7wzz
1q5l,data/rebuild_isolated/rebuild_20251221_163301/processed/1q5l
5djz,data/rebuild_isolated/rebuild_20251221_163301/processed/5djz
7ufo,data/rebuild_isolated/rebuild_20251221_163301/processed/7ufo
